text,stars_true,prompt_type,raw_output,json_valid,stars_pred,key_point_pred,business_response_pred,parse_error
"I am from Houston, TX and the only similarities are the queso and the restaurant design. I got a taco and enchilada and the taco was good but the enchilada was terrible. I can't even describe how it tasted besides bad. The waitress was really nice. Keep them, change the chefs.",2,multi_objective_assistant,"```
{
  ""stars"": 2,
  ""key_point"": ""Enchilada was terrible"",
  ""business_response"": ""Sorry to hear our enchilada didn't meet your expectations. We appreciate your feedback and will look into improving our dishes.""
}
```",True,2,Enchilada was terrible,Sorry to hear our enchilada didn't meet your expectations. We appreciate your feedback and will look into improving our dishes.,
"This company was a nightmare to work with. They initially started the work on the pool replaster and spa addition promptly, in order to collect the first two payments, but that is when the work pretty much stopped. Nothing got done for weeks. When work was done, it was unsupervised, and thus some things needed to be redone multiple times to get them done right, such as moving the PVC pipe covered utilities away from the pool, where the workers had placed them sticking 3 feet up from the ground, right next to the spa. It took two times before they placed behind the fountain where they could not be seen. They also had problems tiling the fountain backsplash, and when they had to tear it up, they put all their garbage in my recycling bin. Fortunately I noticed it, as I am sure I would have been fined by city of Scottsdale  had I not. He very reluctantly came to empty the can, and seemed to think it was quite unreasonable for me to ask for him to do that. The last straw was when they dug the gas line. He did not supervise or use a locator service and when I returned from my trip, I found power outages all aver the house. Turned out that they had hit an electrical conduit, and damaged it so severely that it pulled wires out of the wall on a sub panel. Then instead of owning up to it, they covered it up. Bill of course was right there trying to collect his final bill before this damage was discovered. I refused to pay it at the time because the yard was left a total mess. When he saw the electricians in the yard, he was acting very nervous, and told them that they did not  do anything. It took 3 electricians hours to locate the damage, and when they did, he refused to take any responsibility initially what so ever. I however had all the proof I needed, and eventually he paid about $1,300.00 of a $2,100.00 bill. If you are thinking of getting any pool work done, stay away from this company!\nAnita C.",1,multi_objective_assistant,"```
{
  ""stars"": 1,
  ""key_point"": ""Company stopped work for weeks, did unsupervised work, and had multiple issues with project"",
  ""business_response"": ""We apologize for the poor experience with our company. We understand that delays, lack of supervision, and mistakes caused frustration. We take responsibility for not meeting expectations and will work to improve our processes.""
}
```",True,1,"Company stopped work for weeks, did unsupervised work, and had multiple issues with project","We apologize for the poor experience with our company. We understand that delays, lack of supervision, and mistakes caused frustration. We take responsibility for not meeting expectations and will work to improve our processes.",
Every time I've been to this Denny's the service is horrible. I tried it a few times because the first time I went was later in the night so I thought if give it another shot but every time I've gone nothing has changed.,1,multi_objective_assistant,"```
{
  ""stars"": 1,
  ""key_point"": ""Poor service"",
  ""business_response"": ""Sorry to hear that you've had a consistently disappointing experience with our service. We'd like to make it right, can you please contact us so we can improve?""
}
```",True,1,Poor service,"Sorry to hear that you've had a consistently disappointing experience with our service. We'd like to make it right, can you please contact us so we can improve?",
It depends on who you get to serve you.  Make sure you ask not to be waited on by Sweaty Waiter. It is so gross to watch the sweat drop off this guy.  He is so sweaty that he constantly has to push up his glasses.  One time I told the manager about him and told him he shouldn't be waiting tables.  The manager said his hands were tied because Sweaty Waiter was a friend of the owners family.  I told him that the waiter was disgustingly sweaty and he needed to towel off and have extra shirts.  The manager told me he does towel off and change shirts but it doesnt help.  Then later he sent him home and told us he was sweating more than usual because he wasn't feeling well. So gross.,2,multi_objective_assistant,"```
{
  ""stars"": 1,
  ""key_point"": ""Sweaty waiter was unhygienic and unprofessional"",
  ""business_response"": ""Sorry to hear about the unpleasant experience with our server. We take cleanliness and staff performance seriously and will address this issue.""
}
```",True,1,Sweaty waiter was unhygienic and unprofessional,Sorry to hear about the unpleasant experience with our server. We take cleanliness and staff performance seriously and will address this issue.,
"My date and I decided to try something new and stopped at The Lodge for Happy Hour.  We were really pleased with the prices, and all the bartenders/servers seemed really friendly.  And the deep fried cheese curds were to die for!  (I am from Wisconsin, after all.)  However, the bar stools are INCREDIBLY UNCOMFORTABLE.  We didn't stay long, but thought we liked it enough to try it again...at a table next time.\n\nP.S.  We couldn't decide whether to Yelp about the so-scantily-clad-it-was-almost-inappropriate server.  I mean, I know it's a bar and she's working for tips but...geezuz....it made us look around the bar for her pole.",3,multi_objective_assistant,"```
{
  ""stars"": 3,
  ""key_point"": ""Uncomfortable bar stools"",
  ""business_response"": ""Thank you for your feedback. We'll look into making our bar stools more comfortable for our guests.""
}
```",True,3,Uncomfortable bar stools,Thank you for your feedback. We'll look into making our bar stools more comfortable for our guests.,
Yes the pizza is the best in the burgh.  But don't don't forget the wings.  They also have the best wings in the burgh.  They don't deliver.  They don't have to.  I'd drive for miles.,5,multi_objective_assistant,"{""stars"": 5, ""key_point"": ""Best pizza and wings"", ""business_response"": ""Thank you for the love! We're glad you enjoy our pizza and wings.""}",True,5,Best pizza and wings,Thank you for the love! We're glad you enjoy our pizza and wings.,
"Well I went in here looking for gifts for others, but only came out with stuff for myself....hummmm something is wrong with this picture! \nI love Ross stores, I shouldn't have even started looking for stuff for me, it get's me every time!",4,multi_objective_assistant,"{
  ""stars"": 4,
  ""key_point"": ""The reviewer got distracted and ended up buying for themselves"",
  ""business_response"": ""Thank you for your honesty! We're glad you found some great items, even if they weren't for the original recipients.""
}",True,4,The reviewer got distracted and ended up buying for themselves,"Thank you for your honesty! We're glad you found some great items, even if they weren't for the original recipients.",
"I don't understand why the ratings are so low at this Red Lobster.   Had the shrimp and the rock fish.  Both were prepared well.  The piece of rock fish was much too small for my husband. That needs to be worked on.  I noticed that the baked potato got smaller.  That's OK--maybe my waistline will too.   The garden salad was mostly iceberg lettuce with chopped tomatoes, chopped cucumber and one red onion ring.  I would have added two black olives and a few garbanzos to make it look like real salad---variety.  But I don't think that it is Red Lobster's formula.  Chain restaurants follow a formula and recipe on everything for consistency.  But I suggest they rework their salads to include some rocket greens along with iceberg.  The shrimp were fried perfectly and not greasy.  I noticed they don't offer an extra round of their DELICIOUS biscuits---my waistline appreciates it.  The cocktail I ordered was more a blend of juices than any alcohol.  Before ordering it I asked whether it would have enough alcohol and Pattie said yes.  Well it didn't and that's why I taking off a star.  A cocktail should make the drinker feel good and enjoy it.  I basically ordered a glass of mixed juices.\nI liked our waitress (PATTIE)  she was very helpful with my husband's order....OOPS, did I forget to say that they were out of Cod?   My husband went there specifically for the cod since he does not eat shellfish and the last time he didn't like the flounder.  So he ended up having to settle.   So I am taking off one star for no COD and for the alcohol-less cocktail.  Otherwise the food is OK.  \nThanks, Pattie.  You were really helpful!",3,multi_objective_assistant,"```
{
  ""stars"": 3,
  ""key_point"": ""Inconsistent food portion sizes and inaccurate cocktail description"",
  ""business_response"": ""Thank you for your feedback. We take note of your comments on portion sizes, particularly with the rock fish and baked potato. We also apologize for the misunderstanding about our cocktail and will review our descriptions to ensure accuracy. We appreciate your kind words about our staff, especially Pattie, and will pass on your suggestions for menu improvements.""
}
```",True,3,Inconsistent food portion sizes and inaccurate cocktail description,"Thank you for your feedback. We take note of your comments on portion sizes, particularly with the rock fish and baked potato. We also apologize for the misunderstanding about our cocktail and will review our descriptions to ensure accuracy. We appreciate your kind words about our staff, especially Pattie, and will pass on your suggestions for menu improvements.",
"It's just not that good. We initially told the waitress that we only going to order appetizers and desert. My code for \""we read on Yelp this place sucks, but we wanted to give it a try\"" to which she replied they don't alow that but I will let it slide. The food could have come from a buffet and been better. I hate to be super negative, but in this case I am just being real.",1,multi_objective_assistant,"{
  ""stars"": 2,
  ""key_point"": ""Food quality was disappointing"",
  ""business_response"": ""Sorry to hear that our food didn't meet your expectations. We appreciate your feedback and will consider it for future improvements.""
}",True,2,Food quality was disappointing,Sorry to hear that our food didn't meet your expectations. We appreciate your feedback and will consider it for future improvements.,
"My husband and I stayed here over the holidays as we were visiting family and needed a private retreat to escape to at the end of the day...This place is such the decadence!  Of course there's a price for that but sometimes you just got to treat yourself.  It was also my birthday that week and my husband had made mention of it when booking our reservations..  We arrived about 1:00 in the afternoon..just driving up through the gates are a treat in itself..beautiful landscaping and there is the hotel set up against Camelback Mountain.   You have to stop at a guard who asks you if your checking in and you tell him your name and are let thru.  We decided to do self parking instead of valet because paying 39 dollars a day is not how I want to spend the enormous amount of money I knew I'd be spending on better things like the spa, restaurants, drinks.\nThe lobby is so spacious with marble floors, fountain and lots of windows to view the scenery.  Check in was very fast..the guard must let the front desk know your here as they as our room keys were all ready to go!  When we got to our room I was so happy on how big and modern the decor was..  It's a 600 sq, foot room with a double sided sliding glass which opens to this huge balcony with two chairs, a table and a long lounge chair..  We had got the highest floor (4th) with a pool view..ask for that if you ever go as it's the premium view..\nThere was a bottle of champagne chilling on ice with two glasses (compliments of the hotel) for my birthday and a card welcoming us.  The bathrooms are all done in marble with a sunken tub, full sized tolietries from their spa (Eucalyptus/grapefruit) and two big fluffy robes hanging up next to the tub.  A CD was playing some classical music, I guess to set the mood for the elegance and I'll tell you, I did not want to leave the room EVER!  \nWe ate a few times at \""The Terrace\"" which you had a choice of indoor or outdoor dining.  great food and excellent service.. The only thing I didn't enjoy was the many families with a lot of kids who dined there..very noisy at times..but then my husband and I are child free by choice so I guess we get a little grumpy when we are around misbehaving kids.  They also have a lounge and at night you can sit out on a high overlook, with fire pits for a chilly Arizona night and have some very tasty cocktails..  We also used the spa one day, my husband had a massage and I just used their sauna, steam room, whirlpool and the meditation garden sipping some herbal teas..I loved it!  They have over 5 pools scattered around the place, at night we went swimming and then used their enormous hot tub!  I can't wait to go back to this place..it's worth the extra money to be treated well, and to have a relaxing time...",4,multi_objective_assistant,"```
{
  ""stars"": 5,
  ""key_point"": ""Luxurious amenities and exceptional service"",
  ""business_response"": ""Thank you for choosing us! We're thrilled you enjoyed your stay, especially the personalized touches like the champagne and birthday acknowledgement. We appreciate your feedback and look forward to welcoming you back.""
}
```",True,5,Luxurious amenities and exceptional service,"Thank you for choosing us! We're thrilled you enjoyed your stay, especially the personalized touches like the champagne and birthday acknowledgement. We appreciate your feedback and look forward to welcoming you back.",
